site,season,gas,ensemble_rows,complete_rows,curve_present,reason
OSBS,Spring,CO2,0,0,FALSE,no ensemble rows after RSHP/AA_AW filtering
OSBS,Summer,CO2,0,0,FALSE,no ensemble rows after RSHP/AA_AW filtering
OSBS,Winter,CO2,0,0,FALSE,no ensemble rows after RSHP/AA_AW filtering
PUUM,Autumn,CO2,0,0,FALSE,no ensemble rows after RSHP/AA_AW filtering
PUUM,Autumn,H2O,0,0,FALSE,no ensemble rows after RSHP/AA_AW filtering
PUUM,Spring,CO2,0,0,FALSE,no ensemble rows after RSHP/AA_AW filtering
PUUM,Spring,H2O,0,0,FALSE,no ensemble rows after RSHP/AA_AW filtering
PUUM,Summer,CO2,0,0,FALSE,no ensemble rows after RSHP/AA_AW filtering
PUUM,Summer,H2O,0,0,FALSE,no ensemble rows after RSHP/AA_AW filtering
PUUM,Winter,CO2,0,0,FALSE,no ensemble rows after RSHP/AA_AW filtering
PUUM,Winter,H2O,0,0,FALSE,no ensemble rows after RSHP/AA_AW filtering
RMNP,Autumn,CO2,35,15,FALSE,<=36 valid half-hours for seasonal loess fit
RMNP,Autumn,H2O,8,0,FALSE,no complete FG_ENSEMBLE and EC_mean rows
RMNP,Spring,CO2,32,12,FALSE,<=36 valid half-hours for seasonal loess fit
RMNP,Spring,H2O,16,4,FALSE,<=36 valid half-hours for seasonal loess fit
RMNP,Summer,CO2,31,15,FALSE,<=36 valid half-hours for seasonal loess fit
RMNP,Summer,H2O,19,3,FALSE,<=36 valid half-hours for seasonal loess fit
RMNP,Winter,CO2,35,10,FALSE,<=36 valid half-hours for seasonal loess fit
RMNP,Winter,H2O,18,5,FALSE,<=36 valid half-hours for seasonal loess fit
SRER,Autumn,CO2,1648,10,FALSE,<=36 valid half-hours for seasonal loess fit
SRER,Summer,CO2,1558,15,FALSE,<=36 valid half-hours for seasonal loess fit
TEAK,Autumn,CO2,0,0,FALSE,no ensemble rows after RSHP/AA_AW filtering
TEAK,Spring,CO2,0,0,FALSE,no ensemble rows after RSHP/AA_AW filtering
TEAK,Summer,CO2,0,0,FALSE,no ensemble rows after RSHP/AA_AW filtering
TEAK,Winter,CO2,0,0,FALSE,no ensemble rows after RSHP/AA_AW filtering
TOOL,Autumn,CO2,0,0,FALSE,no ensemble rows after RSHP/AA_AW filtering
TOOL,Spring,CO2,0,0,FALSE,no ensemble rows after RSHP/AA_AW filtering
TOOL,Summer,CO2,0,0,FALSE,no ensemble rows after RSHP/AA_AW filtering
TOOL,Winter,CO2,0,0,FALSE,no ensemble rows after RSHP/AA_AW filtering
WREF,Autumn,CO2,88,18,FALSE,<=36 valid half-hours for seasonal loess fit
