site,season,gas,ensemble_rows,complete_rows,curve_present,reason
ABBY,Autumn,CO2,0,0,FALSE,no ensemble rows after RSHP/AA_AW filtering
ABBY,Autumn,H2O,1341,729,TRUE,diel curve present
ABBY,Spring,CO2,0,0,FALSE,no ensemble rows after RSHP/AA_AW filtering
ABBY,Spring,H2O,1254,647,TRUE,diel curve present
ABBY,Summer,CO2,0,0,FALSE,no ensemble rows after RSHP/AA_AW filtering
ABBY,Summer,H2O,1199,731,TRUE,diel curve present
ABBY,Winter,CO2,0,0,FALSE,no ensemble rows after RSHP/AA_AW filtering
ABBY,Winter,H2O,1474,628,TRUE,diel curve present
BARR,Autumn,CO2,0,0,FALSE,no ensemble rows after RSHP/AA_AW filtering
BARR,Autumn,H2O,21,4,FALSE,<=36 valid half-hours for seasonal loess fit
BARR,Spring,CO2,0,0,FALSE,no ensemble rows after RSHP/AA_AW filtering
BARR,Spring,H2O,634,94,TRUE,diel curve present
BARR,Summer,CO2,0,0,FALSE,no ensemble rows after RSHP/AA_AW filtering
BARR,Summer,H2O,418,7,FALSE,<=36 valid half-hours for seasonal loess fit
BARR,Winter,CO2,0,0,FALSE,no ensemble rows after RSHP/AA_AW filtering
BARR,Winter,H2O,8,0,FALSE,no complete FG_ENSEMBLE and EC_mean rows
BART,Autumn,CO2,122,45,TRUE,diel curve present
BART,Autumn,H2O,3816,2412,TRUE,diel curve present
BART,Spring,CO2,158,49,TRUE,diel curve present
BART,Spring,H2O,3812,2290,TRUE,diel curve present
BART,Summer,CO2,133,62,TRUE,diel curve present
BART,Summer,H2O,3280,2297,TRUE,diel curve present
BART,Winter,CO2,136,32,TRUE,diel curve present
BART,Winter,H2O,3507,2146,TRUE,diel curve present
BLAN,Autumn,CO2,148,35,TRUE,diel curve present
BLAN,Autumn,H2O,2770,667,TRUE,diel curve present
BLAN,Spring,CO2,212,108,TRUE,diel curve present
BLAN,Spring,H2O,3492,2021,TRUE,diel curve present
BLAN,Summer,CO2,142,43,TRUE,diel curve present
BLAN,Summer,H2O,2139,910,TRUE,diel curve present
BLAN,Winter,CO2,34,13,FALSE,<=36 valid half-hours for seasonal loess fit
BLAN,Winter,H2O,3676,830,TRUE,diel curve present
BONA,Autumn,CO2,284,22,FALSE,<=36 valid half-hours for seasonal loess fit
BONA,Autumn,H2O,4957,1252,TRUE,diel curve present
BONA,Spring,CO2,163,21,FALSE,<=36 valid half-hours for seasonal loess fit
BONA,Spring,H2O,6697,3419,TRUE,diel curve present
BONA,Summer,CO2,191,21,FALSE,<=36 valid half-hours for seasonal loess fit
BONA,Summer,H2O,4841,1613,TRUE,diel curve present
BONA,Winter,CO2,78,5,FALSE,<=36 valid half-hours for seasonal loess fit
BONA,Winter,H2O,3933,1288,TRUE,diel curve present
CLBJ,Autumn,CO2,25,10,FALSE,<=36 valid half-hours for seasonal loess fit
CLBJ,Autumn,H2O,0,0,FALSE,no ensemble rows after RSHP/AA_AW filtering
CLBJ,Spring,CO2,63,27,FALSE,<=36 valid half-hours for seasonal loess fit
CLBJ,Spring,H2O,0,0,FALSE,no ensemble rows after RSHP/AA_AW filtering
CLBJ,Summer,CO2,51,23,FALSE,<=36 valid half-hours for seasonal loess fit
CLBJ,Summer,H2O,0,0,FALSE,no ensemble rows after RSHP/AA_AW filtering
CLBJ,Winter,CO2,24,6,FALSE,<=36 valid half-hours for seasonal loess fit
CLBJ,Winter,H2O,0,0,FALSE,no ensemble rows after RSHP/AA_AW filtering
CPER,Autumn,CO2,493,150,TRUE,diel curve present
CPER,Autumn,H2O,3257,1787,TRUE,diel curve present
CPER,Spring,CO2,678,209,TRUE,diel curve present
CPER,Spring,H2O,4964,2643,TRUE,diel curve present
CPER,Summer,CO2,768,315,TRUE,diel curve present
CPER,Summer,H2O,2681,1506,TRUE,diel curve present
CPER,Winter,CO2,427,101,TRUE,diel curve present
CPER,Winter,H2O,3570,2145,TRUE,diel curve present
DCFS,Autumn,CO2,1540,969,TRUE,diel curve present
DCFS,Autumn,H2O,4608,3060,TRUE,diel curve present
DCFS,Spring,CO2,1307,748,TRUE,diel curve present
DCFS,Spring,H2O,5072,3194,TRUE,diel curve present
DCFS,Summer,CO2,1935,1270,TRUE,diel curve present
DCFS,Summer,H2O,3311,2254,TRUE,diel curve present
DCFS,Winter,CO2,388,135,TRUE,diel curve present
DCFS,Winter,H2O,3458,1832,TRUE,diel curve present
DEJU,Autumn,CO2,428,123,TRUE,diel curve present
DEJU,Autumn,H2O,2103,957,TRUE,diel curve present
DEJU,Spring,CO2,162,52,TRUE,diel curve present
DEJU,Spring,H2O,2561,1504,TRUE,diel curve present
DEJU,Summer,CO2,514,236,TRUE,diel curve present
DEJU,Summer,H2O,2302,1280,TRUE,diel curve present
DEJU,Winter,CO2,464,82,TRUE,diel curve present
DEJU,Winter,H2O,1526,526,TRUE,diel curve present
DELA,Autumn,CO2,0,0,FALSE,no ensemble rows after RSHP/AA_AW filtering
DELA,Autumn,H2O,0,0,FALSE,no ensemble rows after RSHP/AA_AW filtering
DELA,Spring,CO2,0,0,FALSE,no ensemble rows after RSHP/AA_AW filtering
DELA,Spring,H2O,0,0,FALSE,no ensemble rows after RSHP/AA_AW filtering
DELA,Summer,CO2,0,0,FALSE,no ensemble rows after RSHP/AA_AW filtering
DELA,Summer,H2O,0,0,FALSE,no ensemble rows after RSHP/AA_AW filtering
DELA,Winter,CO2,0,0,FALSE,no ensemble rows after RSHP/AA_AW filtering
DELA,Winter,H2O,0,0,FALSE,no ensemble rows after RSHP/AA_AW filtering
DSNY,Autumn,CO2,78,12,FALSE,<=36 valid half-hours for seasonal loess fit
DSNY,Autumn,H2O,2970,1148,TRUE,diel curve present
DSNY,Spring,CO2,62,25,FALSE,<=36 valid half-hours for seasonal loess fit
DSNY,Spring,H2O,3241,1638,TRUE,diel curve present
DSNY,Summer,CO2,33,15,FALSE,<=36 valid half-hours for seasonal loess fit
DSNY,Summer,H2O,1771,901,TRUE,diel curve present
DSNY,Winter,CO2,53,12,FALSE,<=36 valid half-hours for seasonal loess fit
DSNY,Winter,H2O,3354,1725,TRUE,diel curve present
YELL,Autumn,CO2,152,37,TRUE,diel curve present
YELL,Autumn,H2O,234,81,TRUE,diel curve present
YELL,Spring,CO2,307,90,TRUE,diel curve present
YELL,Spring,H2O,386,149,TRUE,diel curve present
YELL,Summer,CO2,376,78,TRUE,diel curve present
YELL,Summer,H2O,395,64,TRUE,diel curve present
YELL,Winter,CO2,174,20,TRUE,diel curve present
YELL,Winter,H2O,190,26,TRUE,diel curve present
GRSM,Autumn,CO2,508,227,TRUE,diel curve present
GRSM,Autumn,H2O,1190,573,TRUE,diel curve present
GRSM,Spring,CO2,313,100,TRUE,diel curve present
